Starting Price is $10.00
On Day 1, price is: $10.75
On Day 2, price is: $10.80
On Day 3, price is: $10.49
On Day 4, price is: $10.38
On Day 5, price is: $10.20
On Day 6, price is: $10.44
On Day 7, price is: $10.25
On Day 8, price is: $9.75
On Day 9, price is: $10.05
On Day 10, price is: $9.83
On Day 11, price is: $9.79
On Day 12, price is: $9.51
On Day 13, price is: $9.72
On Day 14, price is: $9.30
On Day 15, price is: $9.51
On Day 16, price is: $10.33
On Day 17, price is: $10.29
On Day 18, price is: $9.97
On Day 19, price is: $10.47
On Day 20, price is: $11.37
On Day 21, price is: $11.13
On Day 22, price is: $11.96
On Day 23, price is: $12.93
On Day 24, price is: $13.05
On Day 25, price is: $12.84
On Day 26, price is: $13.60
On Day 27, price is: $14.27
On Day 28, price is: $14.14
On Day 29, price is: $13.52
On Day 30, price is: $13.00
On Day 31, price is: $12.46
On Day 32, price is: $13.36
On Day 33, price is: $12.96
On Day 34, price is: $13.77
On Day 35, price is: $14.56
On Day 36, price is: $13.98
On Day 37, price is: $14.69
On Day 38, price is: $15.38
On Day 39, price is: $16.28
On Day 40, price is: $16.69
On Day 41, price is: $15.96
On Day 42, price is: $16.21
On Day 43, price is: $15.73
On Day 44, price is: $16.84
On Day 45, price is: $16.54
On Day 46, price is: $16.95
On Day 47, price is: $16.78
On Day 48, price is: $18.35
On Day 49, price is: $17.85
On Day 50, price is: $17.94
On Day 51, price is: $18.06
On Day 52, price is: $17.93
On Day 53, price is: $19.63
On Day 54, price is: $19.68
On Day 55, price is: $19.68
On Day 56, price is: $21.04
On Day 57, price is: $22.61
On Day 58, price is: $22.88
On Day 59, price is: $23.13
On Day 60, price is: $22.08
On Day 61, price is: $21.76
On Day 62, price is: $21.40
On Day 63, price is: $21.38
On Day 64, price is: $20.39
On Day 65, price is: $22.42
On Day 66, price is: $21.54
On Day 67, price is: $21.10
On Day 68, price is: $21.12
On Day 69, price is: $20.69
On Day 70, price is: $20.27
On Day 71, price is: $20.08
On Day 72, price is: $19.66
On Day 73, price is: $19.14
On Day 74, price is: $18.50
On Day 75, price is: $18.41
On Day 76, price is: $19.07
On Day 77, price is: $18.50
On Day 78, price is: $17.73
On Day 79, price is: $18.71
On Day 80, price is: $18.45
On Day 81, price is: $19.96
On Day 82, price is: $21.05
On Day 83, price is: $21.71
On Day 84, price is: $21.26
On Day 85, price is: $20.92
On Day 86, price is: $19.93
On Day 87, price is: $19.43
On Day 88, price is: $18.55
On Day 89, price is: $18.44
On Day 90, price is: $18.24
On Day 91, price is: $18.38
On Day 92, price is: $20.06
On Day 93, price is: $20.77
On Day 94, price is: $21.79
On Day 95, price is: $20.93
On Day 96, price is: $20.98
On Day 97, price is: $22.01
On Day 98, price is: $22.76
On Day 99, price is: $24.52
On Day 100, price is: $23.33
On Day 101, price is: $24.23
On Day 102, price is: $24.66
On Day 103, price is: $26.83
On Day 104, price is: $28.85
On Day 105, price is: $28.78
On Day 106, price is: $30.02
On Day 107, price is: $29.46
On Day 108, price is: $29.33
On Day 109, price is: $30.55
On Day 110, price is: $30.32
On Day 111, price is: $29.54
On Day 112, price is: $28.07
On Day 113, price is: $27.96
On Day 114, price is: $29.10
On Day 115, price is: $28.88
On Day 116, price is: $27.74
On Day 117, price is: $27.33
On Day 118, price is: $29.27
On Day 119, price is: $28.13
On Day 120, price is: $27.74
On Day 121, price is: $27.51
On Day 122, price is: $27.13
On Day 123, price is: $29.69
On Day 124, price is: $29.45
On Day 125, price is: $28.83
On Day 126, price is: $30.42
On Day 127, price is: $32.27
On Day 128, price is: $33.35
On Day 129, price is: $33.80
On Day 130, price is: $33.02
On Day 131, price is: $35.72
On Day 132, price is: $34.14
On Day 133, price is: $33.58
On Day 134, price is: $34.08
On Day 135, price is: $34.07
On Day 136, price is: $36.01
On Day 137, price is: $37.04
On Day 138, price is: $40.74
On Day 139, price is: $42.34
On Day 140, price is: $40.32
On Day 141, price is: $42.25
On Day 142, price is: $41.02
On Day 143, price is: $42.90
On Day 144, price is: $45.30
On Day 145, price is: $44.20
On Day 146, price is: $43.11
On Day 147, price is: $43.11
On Day 148, price is: $42.22
On Day 149, price is: $42.53
On Day 150, price is: $42.31
On Day 151, price is: $43.82
On Day 152, price is: $48.13
On Day 153, price is: $47.77
On Day 154, price is: $46.23
On Day 155, price is: $45.18
On Day 156, price is: $43.83
On Day 157, price is: $43.72
On Day 158, price is: $41.82
On Day 159, price is: $41.58
On Day 160, price is: $45.44
On Day 161, price is: $44.11
On Day 162, price is: $45.91
On Day 163, price is: $44.03
On Day 164, price is: $43.01
On Day 165, price is: $43.55
On Day 166, price is: $45.41
On Day 167, price is: $45.38
On Day 168, price is: $48.57
On Day 169, price is: $51.28
On Day 170, price is: $49.86
On Day 171, price is: $47.77
On Day 172, price is: $50.10
On Day 173, price is: $48.31
On Day 174, price is: $51.18
On Day 175, price is: $55.25
On Day 176, price is: $57.58
On Day 177, price is: $56.62
On Day 178, price is: $59.50
On Day 179, price is: $57.34
On Day 180, price is: $60.35
On Day 181, price is: $57.63
On Day 182, price is: $57.47
On Day 183, price is: $61.18
On Day 184, price is: $62.60
On Day 185, price is: $65.34
On Day 186, price is: $62.13
On Day 187, price is: $61.06
On Day 188, price is: $60.74
On Day 189, price is: $61.50
On Day 190, price is: $66.91
On Day 191, price is: $66.65
On Day 192, price is: $69.07
On Day 193, price is: $75.46
On Day 194, price is: $73.54
On Day 195, price is: $72.77
On Day 196, price is: $69.35
On Day 197, price is: $67.88
On Day 198, price is: $68.57
On Day 199, price is: $67.40
On Day 200, price is: $72.74
On Day 201, price is: $72.14
On Day 202, price is: $71.18
On Day 203, price is: $67.66
On Day 204, price is: $72.04
On Day 205, price is: $71.46
On Day 206, price is: $76.15
On Day 207, price is: $77.27
On Day 208, price is: $79.02
On Day 209, price is: $86.12
On Day 210, price is: $89.05
On Day 211, price is: $95.39
On Day 212, price is: $95.81
On Day 213, price is: $98.46
On Day 214, price is: $105.28
On Day 215, price is: $106.37
On Day 216, price is: $115.98
On Day 217, price is: $116.49
On Day 218, price is: $115.60
On Day 219, price is: $114.57
On Day 220, price is: $119.34
On Day 221, price is: $117.81
On Day 222, price is: $121.81
On Day 223, price is: $126.28
On Day 224, price is: $122.55
On Day 225, price is: $124.89
On Day 226, price is: $135.16
On Day 227, price is: $135.93
On Day 228, price is: $145.02
On Day 229, price is: $157.12
On Day 230, price is: $152.37
On Day 231, price is: $145.95
On Day 232, price is: $141.65
On Day 233, price is: $136.10
On Day 234, price is: $134.13
On Day 235, price is: $138.77
On Day 236, price is: $150.30
On Day 237, price is: $148.30
On Day 238, price is: $148.96
On Day 239, price is: $145.15
On Day 240, price is: $140.24
On Day 241, price is: $138.76
On Day 242, price is: $145.30
On Day 243, price is: $139.70
On Day 244, price is: $140.27
On Day 245, price is: $147.52
On Day 246, price is: $141.02
On Day 247, price is: $137.06
On Day 248, price is: $135.55
On Day 249, price is: $140.59
On Day 250, price is: $137.11
On Day 251, price is: $143.33
On Day 252, price is: $145.40
On Day 253, price is: $148.31
On Day 254, price is: $147.03
On Day 255, price is: $145.22
On Day 256, price is: $137.99
On Day 257, price is: $137.48
On Day 258, price is: $148.49
On Day 259, price is: $155.95
On Day 260, price is: $150.13
On Day 261, price is: $161.93
On Day 262, price is: $160.12
On Day 263, price is: $162.84
On Day 264, price is: $157.04
On Day 265, price is: $149.99
On Day 266, price is: $145.37
On Day 267, price is: $157.97
On Day 268, price is: $150.85
On Day 269, price is: $146.31
On Day 270, price is: $148.65
On Day 271, price is: $144.29
On Day 272, price is: $151.90
On Day 273, price is: $151.64
On Day 274, price is: $166.13
On Day 275, price is: $170.96
On Day 276, price is: $165.55
On Day 277, price is: $160.08
On Day 278, price is: $157.51
On Day 279, price is: $154.11
On Day 280, price is: $146.72
On Day 281, price is: $140.88
On Day 282, price is: $145.31
On Day 283, price is: $138.74
On Day 284, price is: $132.39
On Day 285, price is: $128.42
On Day 286, price is: $127.39
On Day 287, price is: $132.66
On Day 288, price is: $131.25
On Day 289, price is: $128.51
On Day 290, price is: $132.04
On Day 291, price is: $134.59
On Day 292, price is: $135.77
On Day 293, price is: $129.21
On Day 294, price is: $130.75
